------------------------------------------------------------										
Server	listening	on	TCP	port	5001					
TCP	window	size:	699	Kbit	(default)					
------------------------------------------------------------										
[	4]	local	192.168.56.106	port	5001	connected	with	192.168.56.105	port	49325
[	ID]	Interval	Transfer	Bandwidth						
[	4]	0.0-	1.0	sec	238	Mbits	238	Mbits/sec		
[	4]	1.0-	2.0	sec	247	Mbits	247	Mbits/sec		
[	4]	2.0-	3.0	sec	234	Mbits	234	Mbits/sec		
[	4]	3.0-	4.0	sec	283	Mbits	283	Mbits/sec		
[	4]	4.0-	5.0	sec	302	Mbits	302	Mbits/sec		
[	4]	5.0-	6.0	sec	271	Mbits	271	Mbits/sec		
[	4]	6.0-	7.0	sec	289	Mbits	289	Mbits/sec		
[	4]	7.0-	8.0	sec	287	Mbits	287	Mbits/sec		
[	4]	8.0-	9.0	sec	285	Mbits	285	Mbits/sec		
[	4]	9.0-10.0	sec		297	Mbits	297	Mbits/sec		
[	4]	10.0-11.0	sec		298	Mbits	298	Mbits/sec		
[	4]	11.0-12.0	sec		299	Mbits	299	Mbits/sec		
[	4]	12.0-13.0	sec		307	Mbits	307	Mbits/sec		
[	4]	13.0-14.0	sec		284	Mbits	284	Mbits/sec		
[	4]	14.0-15.0	sec		290	Mbits	290	Mbits/sec		
[	4]	15.0-16.0	sec		280	Mbits	280	Mbits/sec		
[	4]	16.0-17.0	sec		287	Mbits	287	Mbits/sec		
[	4]	17.0-18.0	sec		286	Mbits	286	Mbits/sec		
[	4]	18.0-19.0	sec		297	Mbits	297	Mbits/sec		
[	4]	19.0-20.0	sec		316	Mbits	316	Mbits/sec		
[	4]	20.0-21.0	sec		296	Mbits	296	Mbits/sec		
[	4]	21.0-22.0	sec		297	Mbits	297	Mbits/sec		
[	4]	22.0-23.0	sec		288	Mbits	288	Mbits/sec		
[	4]	23.0-24.0	sec		286	Mbits	286	Mbits/sec		
[	4]	24.0-25.0	sec		314	Mbits	314	Mbits/sec		
[	4]	25.0-26.0	sec		289	Mbits	289	Mbits/sec		
[	4]	26.0-27.0	sec		299	Mbits	299	Mbits/sec		
[	4]	27.0-28.0	sec		313	Mbits	313	Mbits/sec		
[	4]	28.0-29.0	sec		293	Mbits	293	Mbits/sec		
[	4]	29.0-30.0	sec		287	Mbits	287	Mbits/sec		
[	4]	30.0-31.0	sec		304	Mbits	304	Mbits/sec		
[	4]	31.0-32.0	sec		306	Mbits	306	Mbits/sec		
[	4]	32.0-33.0	sec		290	Mbits	290	Mbits/sec		
[	4]	33.0-34.0	sec		290	Mbits	290	Mbits/sec		
[	4]	34.0-35.0	sec		291	Mbits	291	Mbits/sec		
[	4]	35.0-36.0	sec		299	Mbits	299	Mbits/sec		
[	4]	36.0-37.0	sec		292	Mbits	292	Mbits/sec		
[	4]	37.0-38.0	sec		277	Mbits	277	Mbits/sec		
[	4]	38.0-39.0	sec		299	Mbits	299	Mbits/sec		
[	4]	39.0-40.0	sec		297	Mbits	297	Mbits/sec		
[	4]	40.0-41.0	sec		304	Mbits	304	Mbits/sec		
[	4]	41.0-42.0	sec		282	Mbits	282	Mbits/sec		
[	4]	42.0-43.0	sec		295	Mbits	295	Mbits/sec		
[	4]	43.0-44.0	sec		302	Mbits	302	Mbits/sec		
[	4]	44.0-45.0	sec		298	Mbits	298	Mbits/sec		
[	4]	45.0-46.0	sec		293	Mbits	293	Mbits/sec		
[	4]	46.0-47.0	sec		308	Mbits	308	Mbits/sec		
[	4]	47.0-48.0	sec		295	Mbits	295	Mbits/sec		
[	4]	48.0-49.0	sec		305	Mbits	305	Mbits/sec		
[	4]	49.0-50.0	sec		293	Mbits	293	Mbits/sec		
[	4]	50.0-51.0	sec		301	Mbits	301	Mbits/sec		
[	4]	51.0-52.0	sec		283	Mbits	283	Mbits/sec		
[	4]	52.0-53.0	sec		292	Mbits	292	Mbits/sec		
[	4]	53.0-54.0	sec		298	Mbits	298	Mbits/sec		
[	4]	54.0-55.0	sec		298	Mbits	298	Mbits/sec		
[	4]	55.0-56.0	sec		292	Mbits	292	Mbits/sec		
[	4]	56.0-57.0	sec		295	Mbits	295	Mbits/sec		
[	4]	57.0-58.0	sec		284	Mbits	284	Mbits/sec		
[	4]	58.0-59.0	sec		287	Mbits	287	Mbits/sec		
[	4]	59.0-60.0	sec		298	Mbits	298	Mbits/sec		
[	4]	60.0-61.0	sec		288	Mbits	288	Mbits/sec		
[	4]	61.0-62.0	sec		303	Mbits	303	Mbits/sec		
[	4]	62.0-63.0	sec		280	Mbits	280	Mbits/sec		
[	4]	63.0-64.0	sec		305	Mbits	305	Mbits/sec		
[	4]	64.0-65.0	sec		296	Mbits	296	Mbits/sec		
[	4]	65.0-66.0	sec		293	Mbits	293	Mbits/sec		
[	4]	66.0-67.0	sec		289	Mbits	289	Mbits/sec		
[	4]	67.0-68.0	sec		299	Mbits	299	Mbits/sec		
[	4]	68.0-69.0	sec		289	Mbits	289	Mbits/sec		
[	4]	69.0-70.0	sec		292	Mbits	292	Mbits/sec		
[	4]	70.0-71.0	sec		314	Mbits	314	Mbits/sec		
[	4]	71.0-72.0	sec		284	Mbits	284	Mbits/sec		
[	4]	72.0-73.0	sec		290	Mbits	290	Mbits/sec		
[	4]	73.0-74.0	sec		310	Mbits	310	Mbits/sec		
[	4]	74.0-75.0	sec		284	Mbits	284	Mbits/sec		
[	4]	75.0-76.0	sec		301	Mbits	301	Mbits/sec		
[	4]	76.0-77.0	sec		289	Mbits	289	Mbits/sec		
[	4]	77.0-78.0	sec		290	Mbits	290	Mbits/sec		
[	4]	78.0-79.0	sec		297	Mbits	297	Mbits/sec		
[	4]	79.0-80.0	sec		301	Mbits	301	Mbits/sec		
[	4]	80.0-81.0	sec		291	Mbits	291	Mbits/sec		
[	4]	81.0-82.0	sec		284	Mbits	284	Mbits/sec		
[	4]	82.0-83.0	sec		295	Mbits	295	Mbits/sec		
[	4]	83.0-84.0	sec		310	Mbits	310	Mbits/sec		
[	4]	84.0-85.0	sec		295	Mbits	295	Mbits/sec		
[	4]	85.0-86.0	sec		290	Mbits	290	Mbits/sec		
[	4]	86.0-87.0	sec		285	Mbits	285	Mbits/sec		
[	4]	87.0-88.0	sec		284	Mbits	284	Mbits/sec		
[	4]	88.0-89.0	sec		298	Mbits	298	Mbits/sec		
[	4]	89.0-90.0	sec		301	Mbits	301	Mbits/sec		
[	4]	90.0-91.0	sec		311	Mbits	311	Mbits/sec		
[	4]	91.0-92.0	sec		306	Mbits	306	Mbits/sec		
[	4]	92.0-93.0	sec		302	Mbits	302	Mbits/sec		
[	4]	93.0-94.0	sec		318	Mbits	318	Mbits/sec		
[	4]	94.0-95.0	sec		279	Mbits	279	Mbits/sec		
[	4]	95.0-96.0	sec		283	Mbits	283	Mbits/sec		
[	4]	96.0-97.0	sec		294	Mbits	294	Mbits/sec		
[	4]	97.0-98.0	sec		290	Mbits	290	Mbits/sec		
[	4]	98.0-99.0	sec		300	Mbits	300	Mbits/sec		
[	4]	99.0-100.0	sec		300	Mbits	300	Mbits/sec		
[	4]	100.0-101.0	sec		303	Mbits	303	Mbits/sec		
[	4]	101.0-102.0	sec		288	Mbits	288	Mbits/sec		
[	4]	102.0-103.0	sec		304	Mbits	304	Mbits/sec		
[	4]	103.0-104.0	sec		320	Mbits	320	Mbits/sec		
[	4]	104.0-105.0	sec		294	Mbits	294	Mbits/sec		
[	4]	105.0-106.0	sec		284	Mbits	284	Mbits/sec		
[	4]	106.0-107.0	sec		288	Mbits	288	Mbits/sec		
[	4]	107.0-108.0	sec		290	Mbits	290	Mbits/sec		
[	4]	108.0-109.0	sec		298	Mbits	298	Mbits/sec		
[	4]	109.0-110.0	sec		296	Mbits	296	Mbits/sec		
[	4]	110.0-111.0	sec		295	Mbits	295	Mbits/sec		
[	4]	111.0-112.0	sec		289	Mbits	289	Mbits/sec		
[	4]	112.0-113.0	sec		283	Mbits	283	Mbits/sec		
[	4]	113.0-114.0	sec		294	Mbits	294	Mbits/sec		
[	4]	114.0-115.0	sec		293	Mbits	293	Mbits/sec		
[	4]	115.0-116.0	sec		296	Mbits	296	Mbits/sec		
[	4]	116.0-117.0	sec		283	Mbits	283	Mbits/sec		
[	4]	117.0-118.0	sec		307	Mbits	307	Mbits/sec		
[	4]	118.0-119.0	sec		292	Mbits	292	Mbits/sec		
[	4]	119.0-120.0	sec		304	Mbits	304	Mbits/sec		
[	4]	0.0-120.1	sec		35.2	Gbits	293	Mbits/sec		
