------------------------------------------------------------										
Server	listening	on	TCP	port	5001					
TCP	window	size:	85.3	KByte	(default)					
------------------------------------------------------------										
[	4]	local	192.168.56.106	port	5001	connected	with	192.168.56.105	port	53848
[	ID]	Interval	Transfer	Bandwidth						
[	4]	0.0-	1.0	sec	47187	KBytes	386555	Kbits/sec		
[	4]	1.0-	2.0	sec	68955	KBytes	564878	Kbits/sec		
[	4]	2.0-	3.0	sec	66304	KBytes	543162	Kbits/sec		
[	4]	3.0-	4.0	sec	66560	KBytes	545260	Kbits/sec		
[	4]	4.0-	5.0	sec	77312	KBytes	633340	Kbits/sec		
[	4]	5.0-	6.0	sec	65280	KBytes	534774	Kbits/sec		
[	4]	6.0-	7.0	sec	59340	KBytes	486113	Kbits/sec		
[	4]	7.0-	8.0	sec	62848	KBytes	514851	Kbits/sec		
[	4]	8.0-	9.0	sec	65152	KBytes	533725	Kbits/sec		
[	4]	9.0-10.0	sec		66048	KBytes	541065	Kbits/sec		
[	4]	10.0-11.0	sec		67584	KBytes	553648	Kbits/sec		
[	4]	11.0-12.0	sec		64384	KBytes	527434	Kbits/sec		
[	4]	12.0-13.0	sec		68352	KBytes	559940	Kbits/sec		
[	4]	13.0-14.0	sec		62976	KBytes	515899	Kbits/sec		
[	4]	14.0-15.0	sec		64768	KBytes	530579	Kbits/sec		
[	4]	15.0-16.0	sec		62848	KBytes	514851	Kbits/sec		
[	4]	16.0-17.0	sec		62592	KBytes	512754	Kbits/sec		
[	4]	17.0-18.0	sec		64640	KBytes	529531	Kbits/sec		
[	4]	18.0-19.0	sec		62848	KBytes	514851	Kbits/sec		
[	4]	19.0-20.0	sec		64512	KBytes	528482	Kbits/sec		
[	4]	20.0-21.0	sec		70400	KBytes	576717	Kbits/sec		
[	4]	21.0-22.0	sec		71168	KBytes	583008	Kbits/sec		
[	4]	22.0-23.0	sec		65280	KBytes	534774	Kbits/sec		
[	4]	23.0-24.0	sec		73600	KBytes	602931	Kbits/sec		
[	4]	24.0-25.0	sec		65152	KBytes	533725	Kbits/sec		
[	4]	25.0-26.0	sec		68480	KBytes	560988	Kbits/sec		
[	4]	26.0-27.0	sec		61386	KBytes	502878	Kbits/sec		
[	4]	27.0-28.0	sec		68831	KBytes	563862	Kbits/sec		
[	4]	28.0-29.0	sec		66176	KBytes	542114	Kbits/sec		
[	4]	29.0-30.0	sec		67584	KBytes	553648	Kbits/sec		
[	4]	30.0-31.0	sec		59665	KBytes	488774	Kbits/sec		
[	4]	31.0-32.0	sec		57316	KBytes	469532	Kbits/sec		
[	4]	32.0-33.0	sec		62883	KBytes	515140	Kbits/sec		
[	4]	33.0-34.0	sec		69504	KBytes	569377	Kbits/sec		
[	4]	34.0-35.0	sec		61706	KBytes	505495	Kbits/sec		
[	4]	35.0-36.0	sec		64907	KBytes	531719	Kbits/sec		
[	4]	36.0-37.0	sec		70762	KBytes	579680	Kbits/sec		
[	4]	37.0-38.0	sec		65377	KBytes	535570	Kbits/sec		
[	4]	38.0-39.0	sec		62918	KBytes	515428	Kbits/sec		
[	4]	39.0-40.0	sec		58931	KBytes	482761	Kbits/sec		
[	4]	40.0-41.0	sec		57023	KBytes	467136	Kbits/sec		
[	4]	41.0-42.0	sec		57497	KBytes	471017	Kbits/sec		
[	4]	42.0-43.0	sec		58549	KBytes	479631	Kbits/sec		
[	4]	43.0-44.0	sec		59573	KBytes	488022	Kbits/sec		
[	4]	44.0-45.0	sec		64640	KBytes	529535	Kbits/sec		
[	4]	45.0-46.0	sec		71936	KBytes	589300	Kbits/sec		
[	4]	46.0-47.0	sec		65839	KBytes	539350	Kbits/sec		
[	4]	47.0-48.0	sec		68261	KBytes	559194	Kbits/sec		
